Instance;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5 (meaningless but please still use it);Feature 6;Feature 7;Feature 8;Feature 9;Feature 10;Target;Target Class
3139;22107;26528;31834;38201;69299;55009;66011;79213;95056;114067;528026;Very Large Number
3140;464;557;668;802;64379;1154;1385;1662;1994;2393;11079;Medium Number
3141;26100;31320;37584;45101;54431;64945;77934;93521;112225;134670;623400;Very Large Number
3142;50806;60967;73160;87792;31890;126420;151704;182045;218454;262145;1213493;Very Large Number
3143;93744;112493;134992;161990;25405;233266;279919;335903;403084;483701;2239092;Very Large Number
3144;3199;3839;4607;5528;14641;7961;9553;11464;13757;16508;76416;Large Number
3145;8390;10068;12082;14498;57867;20878;25054;30065;36078;43294;200407;Large Number
3146;91596;109915;131898;158278;34112;227921;273505;328206;393847;472616;2187782;Very Large Number
3147;20540;24648;29578;35494;77003;51112;61334;73601;88321;105985;490613;Large Number
3148;88622;106346;127615;153138;77875;220519;264623;317548;381058;457270;2116739;Very Large Number
3149;68611;82333;98800;118560;94178;170726;204871;245845;295014;354017;1638777;Very Large Number
3150;88899;106679;128015;153618;2778;221210;265452;318542;382250;458700;2123365;Very Large Number
3151;54766;65719;78863;94636;69609;136276;163531;196237;235484;282581;1308093;Very Large Number
3152;65359;78431;94117;112940;39342;162634;195161;234193;281032;337238;1561105;Very Large Number
3153;93776;112531;135037;162044;85801;233344;280013;336016;403219;483863;2239843;Very Large Number
3154;62569;75083;90100;108120;41376;155693;186832;224198;269038;322846;1494479;Very Large Number
3155;60093;72112;86534;103841;91832;149531;179437;215324;258389;310067;1435328;Very Large Number
3156;94383;113260;135912;163094;82502;234856;281827;338192;405830;486996;2254350;Very Large Number
3157;49869;59843;71812;86174;70429;124091;148909;178691;214429;257315;1191133;Very Large Number
3158;82072;98486;118183;141820;80792;204221;245065;294078;352894;423473;1960292;Very Large Number
3159;56845;68214;81857;98228;42147;141449;169739;203687;244424;293309;1357752;Very Large Number
3160;68406;82087;98504;118205;27498;170215;204258;245110;294132;352958;1633875;Very Large Number
3161;99421;119305;143166;171799;14703;247391;296869;356243;427492;512990;2374676;Very Large Number
3162;78780;94536;113443;136132;8305;196030;235236;282283;338740;406488;1881668;Very Large Number
3163;79929;95915;115098;138118;51502;198890;238668;286402;343682;412418;1909120;Very Large Number
3164;58267;69920;83904;100685;56236;144986;173983;208780;250536;300643;1391704;Very Large Number
3165;17331;20797;24956;29947;86646;43123;51748;62098;74518;89422;413940;Large Number
3166;60956;73147;87776;105331;85856;151676;182011;218413;262096;314515;1455921;Very Large Number
3167;13969;16763;20116;24139;566;34760;41712;50054;60065;72078;333656;Large Number
3168;75880;91056;109267;131120;5830;188813;226576;271891;326269;391523;1812395;Very Large Number
3169;20427;24512;29414;35297;15488;50827;60992;73190;87828;105394;487881;Large Number
3170;20899;25079;30095;36114;82911;52004;62405;74886;89863;107836;499181;Large Number
3171;90469;108563;130276;156331;13161;225116;270139;324167;389000;466800;2160861;Very Large Number
3172;86437;103724;124469;149363;50054;215083;258100;309720;371664;445997;2064557;Very Large Number
3173;2899;3479;4175;5010;51004;7214;8657;10388;12466;14959;69247;Large Number
3174;30344;36413;43696;52435;25912;75506;90607;108728;130474;156569;724772;Very Large Number
3175;38298;45958;55150;66180;22119;95299;114359;137231;164677;197612;914764;Very Large Number
3176;39681;47617;57140;68568;67421;98738;118486;142183;170620;204744;947777;Very Large Number
3177;60898;73078;87694;105233;24792;151536;181843;218212;261854;314225;1454573;Very Large Number
3178;64334;77201;92641;111169;24031;160084;192101;230521;276625;331950;1536626;Very Large Number
3179;75899;91079;109295;131154;47227;188862;226634;271961;326353;391624;1812861;Very Large Number
3180;30014;36017;43220;51864;81604;74684;89621;107545;129054;154865;716884;Very Large Number
3181;82080;98496;118195;141834;70317;204241;245089;294107;352928;423514;1960484;Very Large Number
3182;24637;29564;35477;42572;97912;61303;73564;88277;105932;127118;588444;Very Large Number
3183;45287;54344;65213;78256;29176;112688;135226;162271;194725;233670;1081680;Very Large Number
3184;85131;102157;122588;147106;92797;211832;254198;305038;366046;439255;2033351;Very Large Number
3185;21002;25202;30242;36290;49439;52258;62710;75252;90302;108362;501620;Very Large Number
3186;78627;94352;113222;135866;93739;195647;234776;281731;338077;405692;1877990;Very Large Number
3187;81152;97382;116858;140230;28784;201931;242317;290780;348936;418723;1938309;Very Large Number
3188;73503;88204;105845;127014;91334;182900;219480;263376;316051;379261;1755634;Very Large Number
3189;63347;76016;91219;109463;64466;157627;189152;226982;272378;326854;1513038;Very Large Number
3190;637;764;917;1100;2114;1584;1901;2281;2737;3284;15205;Medium Number
3191;47991;57589;69107;82928;19331;119417;143300;171960;206352;247622;1146266;Very Large Number
3192;73706;88447;106136;127363;26017;183403;220084;264101;316921;380305;1760466;Very Large Number
3193;90773;108928;130714;156857;42287;225874;271049;325259;390311;468373;2168138;Very Large Number
3194;2021;2425;2910;3492;39325;5028;6034;7241;8689;10427;48267;Medium Number
3195;12232;14678;17614;21137;84207;30437;36524;43829;52595;63114;292160;Large Number
3196;79776;95731;114877;137852;20509;198506;238207;285848;343018;411622;1905437;Very Large Number
3197;88284;105941;127129;152555;19452;219679;263615;316338;379606;455527;2108674;Very Large Number
3198;51519;61823;74188;89026;29905;128197;153836;184603;221524;265829;1230545;Very Large Number
3199;87281;104737;125684;150821;41994;217182;260618;312742;375290;450348;2084703;Very Large Number
3200;51759;62111;74533;89440;99725;128794;154553;185464;222557;267068;1236279;Very Large Number
3201;81976;98371;118045;141654;71627;203982;244778;293734;352481;422977;1957998;Very Large Number
3202;39430;47316;56779;68135;79148;98114;117737;141284;169541;203449;941785;Very Large Number
3203;74003;88804;106565;127878;36452;184145;220974;265169;318203;381844;1767585;Very Large Number
3204;5347;6416;7699;9239;54981;13304;15965;19158;22990;27588;127706;Large Number
3205;28140;33768;40522;48626;36687;70021;84025;100830;120996;145195;672123;Very Large Number
3206;86436;103723;124468;149362;6847;215081;258097;309716;371659;445991;2064533;Very Large Number
3207;87492;104990;125988;151186;73120;217708;261250;313500;376200;451440;2089754;Very Large Number
3208;23526;28231;33877;40652;4296;58538;70246;84295;101154;121385;561904;Very Large Number
3209;7791;9349;11219;13463;53107;19387;23264;27917;33500;40200;186090;Large Number
3210;66345;79614;95537;114644;66173;165088;198106;237727;285272;342326;1584659;Very Large Number
3211;63218;75862;91034;109241;94859;157307;188768;226522;271826;326191;1509969;Very Large Number
3212;54274;65129;78155;93786;4340;135052;162062;194474;233369;280043;1296344;Very Large Number
3213;9163;10996;13195;15834;54820;22801;27361;32833;39400;47280;218863;Large Number
3214;19567;23480;28176;33811;30296;48688;58426;70111;84133;100960;467352;Large Number
3215;42087;50504;60605;72726;51924;104725;125670;150804;180965;217158;1005244;Very Large Number
3216;59053;70864;85037;102044;61869;146944;176333;211600;253920;304704;1410499;Very Large Number
3217;39086;46903;56284;67541;44456;97259;116711;140053;168064;201677;933578;Very Large Number
3218;56084;67301;80761;96913;11610;139555;167466;200959;241151;289381;1339571;Very Large Number
3219;68375;82050;98460;118152;82567;170138;204166;244999;293999;352799;1633138;Very Large Number
3220;90437;108524;130229;156275;14131;225036;270043;324052;388862;466634;2160092;Very Large Number
3221;78112;93734;112481;134977;99062;194366;233239;279887;335864;403037;1865697;Very Large Number
3222;46288;55546;66655;79986;30373;115180;138216;165859;199031;238837;1105598;Very Large Number
3223;70090;84108;100930;121116;22;174407;209288;251146;301375;361650;1674110;Very Large Number
3224;25013;30016;36019;43223;8661;62242;74690;89628;107554;129065;597450;Very Large Number
3225;39489;47387;56864;68237;21218;98261;117913;141496;169795;203754;943196;Very Large Number
3226;70708;84850;101820;122184;91508;175945;211134;253361;304033;364840;1688875;Very Large Number
3227;44134;52961;63553;76264;16462;109820;131784;158141;189769;227723;1054149;Very Large Number
3228;81048;97258;116710;140052;81281;201674;242009;290411;348493;418192;1935847;Very Large Number
3229;54171;65005;78006;93607;16624;134794;161753;194104;232925;279510;1293875;Very Large Number
3230;92604;111125;133350;160020;62746;230429;276515;331818;398182;477818;2211861;Very Large Number
3231;21738;26086;31303;37564;24557;54092;64910;77892;93470;112164;519219;Very Large Number
3232;14181;17017;20420;24504;7921;35286;42343;50812;60974;73169;338706;Large Number
3233;18650;22380;26856;32227;30638;46406;55687;66824;80189;96227;445446;Large Number
3234;31767;38120;45744;54893;5888;79046;94855;113826;136591;163909;758751;Very Large Number
3235;23757;28508;34210;41052;94541;59114;70937;85124;102149;122579;567430;Very Large Number
3236;12924;15509;18611;22333;90199;32160;38592;46310;55572;66686;308697;Large Number
3237;87214;104657;125588;150706;53228;217016;260419;312503;375004;450005;2083112;Very Large Number
3238;66936;80323;96388;115666;47082;166559;199871;239845;287814;345377;1598779;Very Large Number
3239;11287;13544;16253;19504;96105;28086;33703;40444;48533;58240;269594;Large Number
3240;9495;11394;13673;16408;721;23628;28354;34025;40830;48996;226803;Large Number
3241;3243;3892;4670;5604;1052;8070;9684;11621;13945;16734;77463;Large Number
3242;79214;95057;114068;136882;60130;197110;236532;283838;340606;408727;1892034;Very Large Number
3243;12069;14483;17380;20856;21001;30032;36038;43246;51895;62274;288273;Large Number
3244;90868;109042;130850;157020;64627;226109;271331;325597;390716;468859;2170392;Very Large Number
3245;82198;98638;118366;142039;24036;204536;245443;294532;353438;424126;1963316;Very Large Number
3246;24422;29306;35167;42200;60614;60768;72922;87506;105007;126008;583306;Very Large Number
3247;60340;72408;86890;104268;18056;150146;180175;216210;259452;311342;1441231;Very Large Number
3248;35845;43014;51617;61940;93026;89194;107033;128440;154128;184954;856165;Very Large Number
3249;65547;78656;94387;113264;59007;163100;195720;234864;281837;338204;1565579;Very Large Number
3250;36207;43448;52138;62566;94004;90095;108114;129737;155684;186821;864810;Very Large Number
3251;99529;119435;143322;171986;67544;247660;297192;356630;427956;513547;2377257;Very Large Number
3252;43112;51734;62081;74497;25121;107275;128730;154476;185371;222445;1029721;Very Large Number
3253;22991;27589;33107;39728;81417;57209;68651;82381;98857;118628;549141;Very Large Number
3254;56634;67961;81553;97864;35586;140924;169109;202931;243517;292220;1352713;Very Large Number
3255;5285;6342;7610;9132;68010;13150;15780;18936;22723;27268;126226;Large Number
3256;60118;72142;86570;103884;17451;149593;179512;215414;258497;310196;1435926;Very Large Number
3257;65470;78564;94277;113132;27457;162910;195492;234590;281508;337810;1563753;Very Large Number
3258;20679;24815;29778;35734;75778;51457;61748;74098;88918;106702;493929;Large Number
3259;68029;81635;97962;117554;38571;169278;203134;243761;292513;351016;1624882;Very Large Number
3260;1579;1895;2274;2729;31186;3930;4716;5659;6791;8149;37722;Medium Number
3261;43412;52094;62513;75016;35241;108023;129628;155554;186665;223998;1036903;Very Large Number
3262;41838;50206;60247;72296;42378;104106;124927;149912;179894;215873;999299;Very Large Number
3263;33189;39827;47792;57350;3579;82584;99101;118921;142705;171246;792715;Very Large Number
3264;62316;74779;89735;107682;46893;155062;186074;223289;267947;321536;1488420;Very Large Number
3265;10568;12682;15218;18262;83636;26297;31556;37867;45440;54528;252418;Large Number
3266;65195;78234;93881;112657;71391;162226;194671;233605;280326;336391;1557186;Very Large Number
3267;26296;31555;37866;45439;56604;65432;78518;94222;113066;135679;628073;Very Large Number
3268;10547;12656;15187;18224;73297;26243;31492;37790;45348;54418;251905;Large Number
3269;12028;14434;17321;20785;66707;29930;35916;43099;51719;62063;287295;Large Number
3270;82813;99376;119251;143101;79266;206065;247278;296734;356081;427297;1977996;Very Large Number
3271;16173;19408;23290;27948;13916;40246;48295;57954;69545;83454;386313;Large Number
3272;14254;17105;20526;24631;62891;35468;42562;51074;61289;73547;340456;Large Number
3273;75445;90534;108641;130369;91198;187732;225278;270334;324401;389281;1802015;Very Large Number
3274;77906;93487;112184;134621;54230;193854;232625;279150;334980;401976;1860783;Very Large Number
3275;57256;68707;82448;98938;67368;142471;170965;205158;246190;295428;1367561;Very Large Number
3276;71715;86058;103270;123924;65576;178451;214141;256969;308363;370036;1712927;Very Large Number
3277;6196;7435;8922;10706;67945;15416;18499;22199;26639;31967;147979;Large Number
3278;44367;53240;63888;76666;23238;110399;132479;158975;190770;228924;1059708;Very Large Number
3279;69478;83374;100049;120059;66112;172885;207462;248954;298745;358494;1659500;Very Large Number
3280;78724;94469;113363;136036;83076;195892;235070;282084;338501;406201;1880340;Very Large Number
3281;57792;69350;83220;99864;83125;143804;172565;207078;248494;298193;1380360;Very Large Number
3282;75866;91039;109247;131096;16440;188778;226534;271841;326209;391451;1812061;Very Large Number
3283;14879;17855;21426;25711;96740;37024;44429;53315;63978;76774;355391;Large Number
3284;7153;8584;10301;12361;67474;17800;21360;25632;30758;36910;170859;Large Number
3285;20807;24968;29962;35954;53159;51774;62129;74555;89466;107359;496974;Large Number
3286;81079;97295;116754;140105;22619;201751;242101;290521;348625;418350;1936581;Very Large Number
3287;28826;34591;41509;49811;68998;71728;86074;103289;123947;148736;688511;Very Large Number
3288;94630;113556;136267;163520;68063;235469;282563;339076;406891;488269;2260241;Very Large Number
3289;11157;13388;16066;19279;71489;27762;33314;39977;47972;57566;266481;Large Number
3290;3667;4400;5280;6336;66223;9124;10949;13139;15767;18920;87582;Large Number
3291;42783;51340;61608;73930;92498;106459;127751;153301;183961;220753;1021886;Very Large Number
3292;8865;10638;12766;15319;31969;22060;26472;31766;38119;45743;211748;Large Number
3293;51095;61314;73577;88292;88097;127140;152568;183082;219698;263638;1220404;Very Large Number
3294;99307;119168;143002;171602;54130;247106;296527;355832;426998;512398;2371940;Very Large Number
3295;65696;78835;94602;113522;14039;163471;196165;235398;282478;338974;1569141;Very Large Number
3296;31969;38363;46036;55243;42914;79550;95460;114552;137462;164954;763589;Very Large Number
3297;86257;103508;124210;149052;36480;214634;257561;309073;370888;445066;2060249;Very Large Number
3298;3612;4334;5201;6241;25168;8987;10784;12941;15529;18635;86264;Large Number
3299;43326;51991;62389;74867;95822;107808;129370;155244;186293;223552;1034840;Very Large Number
3300;64110;76932;92318;110782;87696;159526;191431;229717;275660;330792;1531268;Very Large Number
3301;74883;89860;107832;129398;11643;186334;223601;268321;321985;386382;1788596;Very Large Number
3302;56772;68126;81751;98101;6088;141265;169518;203422;244106;292927;1355988;Very Large Number
3303;27996;33595;40314;48377;82540;69662;83594;100313;120376;144451;668678;Very Large Number
3304;95656;114787;137744;165293;31334;238022;285626;342751;411301;493561;2284741;Very Large Number
3305;64965;77958;93550;112260;44987;161654;193985;232782;279338;335206;1551698;Very Large Number
3306;31689;38027;45632;54758;40467;78852;94622;113546;136255;163506;756887;Very Large Number
3307;12226;14671;17605;21126;54732;30421;36505;43806;52567;63080;292007;Large Number
3308;6421;7705;9246;11095;85490;15977;19172;23006;27607;33128;153357;Large Number
3309;89281;107137;128564;154277;15824;222158;266590;319908;383890;460668;2132473;Very Large Number
3310;88600;106320;127584;153101;66958;220465;264558;317470;380964;457157;2116219;Very Large Number
3311;68206;81847;98216;117859;87523;169717;203660;244392;293270;351924;1629091;Very Large Number
3312;50045;60054;72065;86478;22354;124529;149435;179322;215186;258223;1195337;Very Large Number
3313;26559;31871;38245;45894;85143;66088;79306;95167;114200;137040;634370;Very Large Number
3314;2752;3302;3962;4754;51065;6846;8215;9858;11830;14196;65715;Large Number
3315;21656;25987;31184;37421;62330;53886;64663;77596;93115;111738;517246;Very Large Number
3316;84548;101458;121750;146100;37127;210384;252461;302953;363544;436253;2019451;Very Large Number
3317;74350;89220;107064;128477;71238;185006;222007;266408;319690;383628;1775850;Very Large Number
3318;83805;100566;120679;144815;46851;208534;250241;300289;360347;432416;2001692;Very Large Number
3319;11963;14356;17227;20672;16805;29767;35720;42864;51437;61724;285730;Large Number
3320;63605;76326;91591;109909;4421;158269;189923;227908;273490;328188;1519209;Very Large Number
3321;95551;114661;137593;165112;86481;237761;285313;342376;410851;493021;2282239;Very Large Number
3322;65131;78157;93788;112546;86073;162066;194479;233375;280050;336060;1555652;Very Large Number
3323;87132;104558;125470;150564;58560;216812;260174;312209;374651;449581;2081151;Very Large Number
3324;88265;105918;127102;152522;19298;219631;263557;316268;379522;455426;2108211;Very Large Number
3325;64736;77683;93220;111864;23640;161084;193301;231961;278353;334024;1546226;Very Large Number
3326;22251;26701;32041;38449;29337;55367;66440;79728;95674;114809;531460;Very Large Number
3327;10532;12638;15166;18199;78859;26207;31448;37738;45286;54343;251557;Large Number
3328;46535;55842;67010;80412;73540;115793;138952;166742;200090;240108;1111484;Very Large Number
3329;78820;94584;113501;136201;4028;196129;235355;282426;338911;406693;1882620;Very Large Number
3330;74997;89996;107995;129594;16097;186616;223939;268727;322472;386966;1791302;Very Large Number
3331;1210;1452;1742;2090;72504;3010;3612;4334;5201;6241;28892;Medium Number
3332;331;397;476;571;94751;822;986;1183;1420;1704;7890;Medium Number
3333;5941;7129;8555;10266;92071;14783;17740;21288;25546;30655;141903;Large Number
3334;98890;118668;142402;170882;14889;246070;295284;354341;425209;510251;2361997;Very Large Number
3335;12321;14785;17742;21290;85818;30658;36790;44148;52978;63574;294286;Large Number
3336;99133;118960;142752;171302;21398;246674;296009;355211;426253;511504;2367798;Very Large Number
3337;78739;94487;113384;136061;43770;195928;235114;282137;338564;406277;1880691;Very Large Number
3338;37395;44874;53849;64619;70298;93052;111662;133994;160793;192952;893190;Very Large Number
3339;13937;16724;20069;24083;76991;34680;41616;49939;59927;71912;332887;Large Number
3340;58280;69936;83923;100708;77605;145020;174024;208829;250595;300714;1392029;Very Large Number
3341;90649;108779;130535;156642;51458;225564;270677;324812;389774;467729;2165161;Very Large Number
3342;29147;34976;41971;50365;55551;72526;87031;104437;125324;150389;696166;Very Large Number
3343;36880;44256;53107;63728;72749;91769;110123;132148;158578;190294;880883;Very Large Number
3344;2305;2766;3319;3983;91498;5736;6883;8260;9912;11894;55058;Large Number
3345;16831;20197;24236;29083;96085;41880;50256;60307;72368;86842;402000;Large Number
3346;27636;33163;39796;47755;87159;68767;82520;99024;118829;142595;660085;Very Large Number
3347;43229;51875;62250;74700;59257;107568;129082;154898;185878;223054;1032534;Very Large Number
3348;41295;49554;59465;71358;43367;102756;123307;147968;177562;213074;986339;Very Large Number
3349;11387;13664;16397;19676;17365;28333;34000;40800;48960;58752;271969;Large Number
3350;68381;82057;98468;118162;17695;170153;204184;245021;294025;352830;1633281;Very Large Number
3351;13681;16417;19700;23640;99147;34042;40850;49020;58824;70589;326763;Large Number
3352;17727;21272;25526;30631;19716;44108;52930;63516;76219;91463;423392;Large Number
3353;28911;34693;41632;49958;89723;71940;86328;103594;124313;149176;690545;Very Large Number
3354;24367;29240;35088;42106;70469;60632;72758;87310;104772;125726;581999;Very Large Number
3355;36800;44160;52992;63590;13978;91570;109884;131861;158233;189880;878970;Very Large Number
3356;19077;22892;27470;32964;70058;47468;56962;68354;82025;98430;455642;Large Number
3357;76673;92008;110410;132492;65133;190788;228946;274735;329682;395618;1831352;Very Large Number
3358;14921;17905;21486;25783;82521;37128;44554;53465;64158;76990;356390;Large Number
3359;74109;88931;106717;128060;61296;184406;221287;265544;318653;382384;1770091;Very Large Number
3360;45573;54688;65626;78751;4041;113401;136081;163297;195956;235147;1088520;Very Large Number
3361;2330;2796;3355;4026;24334;5797;6956;8347;10016;12019;55642;Large Number
3362;95247;114296;137155;164586;28412;237004;284405;341286;409543;491452;2274974;Very Large Number
3363;83583;100300;120360;144432;75093;207982;249578;299494;359393;431272;1996394;Very Large Number
3364;1340;1608;1930;2316;98072;3335;4002;4802;5762;6914;32009;Medium Number
3365;75534;90641;108769;130523;18971;187954;225545;270654;324785;389742;1804147;Very Large Number
3366;75431;90517;108620;130344;96510;187696;225235;270282;324338;389206;1801669;Very Large Number
3367;88205;105846;127015;152418;14495;219482;263378;316054;379265;455118;2106781;Very Large Number
3368;30962;37154;44585;53502;43608;77042;92450;110940;133128;159754;739517;Very Large Number
3369;35064;42077;50492;60590;30715;87250;104700;125640;150768;180922;837503;Very Large Number
3370;45322;54386;65263;78316;10739;112775;135330;162396;194875;233850;1082513;Very Large Number
3371;62333;74800;89760;107712;44431;155105;186126;223351;268021;321625;1488833;Very Large Number
3372;49872;59846;71815;86178;58808;124097;148916;178699;214439;257327;1191189;Very Large Number
3373;77025;92430;110916;133099;99569;191663;229996;275995;331194;397433;1839751;Very Large Number
3374;16260;19512;23414;28097;82806;40459;48551;58261;69913;83896;388363;Large Number
3375;55340;66408;79690;95628;68297;137705;165246;198295;237954;285545;1321811;Very Large Number
3376;70145;84174;101009;121211;30998;174544;209453;251344;301613;361936;1675429;Very Large Number
3377;1556;1867;2240;2688;30842;3871;4645;5574;6689;8027;37157;Medium Number
3378;29621;35545;42654;51185;63386;73706;88447;106136;127363;152836;707493;Very Large Number
3379;22385;26862;32234;38681;2044;55700;66840;80208;96250;115500;534660;Very Large Number
3380;68530;82236;98683;118420;68354;170525;204630;245556;294667;353600;1636847;Very Large Number
3381;68228;81874;98249;117899;30032;169775;203730;244476;293371;352045;1629647;Very Large Number
3382;50882;61058;73270;87924;79281;126611;151933;182320;218784;262541;1215323;Very Large Number
3383;21833;26200;31440;37728;99780;54329;65195;78234;93881;112657;521497;Very Large Number
3384;69231;83077;99692;119630;55668;172267;206720;248064;297677;357212;1653570;Very Large Number
3385;3848;4618;5542;6650;27490;9576;11491;13789;16547;19856;91917;Large Number
3386;78465;94158;112990;135588;89104;195247;234296;281155;337386;404863;1874148;Very Large Number
3387;25144;30173;36208;43450;75473;62568;75082;90098;108118;129742;600583;Very Large Number
3388;12471;14965;17958;21550;29484;31032;37238;44686;53623;64348;297871;Large Number
3389;75639;90767;108920;130704;86429;188214;225857;271028;325234;390281;1806644;Very Large Number
3390;29829;35795;42954;51545;34785;74225;89070;106884;128261;153913;712476;Very Large Number
3391;88337;106004;127205;152646;79171;219810;263772;316526;379831;455797;2109928;Very Large Number
3392;52719;63263;75916;91099;45975;131183;157420;188904;226685;272022;1259211;Very Large Number
3393;61030;73236;87883;105460;90555;151862;182234;218681;262417;314900;1457703;Very Large Number
3394;74033;88840;106608;127930;36596;184219;221063;265276;318331;381997;1768297;Very Large Number
3395;97410;116892;140270;168324;97544;242387;290864;349037;418844;502613;2326641;Very Large Number
3396;20492;24590;29508;35410;29545;50990;61188;73426;88111;105733;489448;Large Number
3397;58495;70194;84233;101080;60572;145555;174666;209599;251519;301823;1397164;Very Large Number
3398;61212;73454;88145;105774;78811;152315;182778;219334;263201;315841;1462054;Very Large Number
3399;73930;88716;106459;127751;6168;183961;220753;264904;317885;381462;1765821;Very Large Number
3400;52817;63380;76056;91267;75751;131424;157709;189251;227101;272521;1261526;Very Large Number
3401;65437;78524;94229;113075;43235;162828;195394;234473;281368;337642;1562970;Very Large Number
3402;78514;94217;113060;135672;16378;195367;234440;281328;337594;405113;1875305;Very Large Number
3403;53166;63799;76559;91871;76212;132294;158753;190504;228605;274326;1269877;Very Large Number
3404;62723;75268;90322;108386;33771;156076;187291;224749;269699;323639;1498153;Very Large Number
3405;81654;97985;117582;141098;5149;203182;243818;292582;351098;421318;1950317;Very Large Number
3406;7790;9348;11218;13462;7842;19385;23262;27914;33497;40196;186072;Large Number
3407;89547;107456;128947;154736;37060;222820;267384;320861;385033;462040;2138824;Very Large Number
3408;22877;27452;32942;39530;14507;56923;68308;81970;98364;118037;546403;Very Large Number
3409;30951;37141;44569;53483;35409;77016;92419;110903;133084;159701;739267;Very Large Number
3410;88702;106442;127730;153276;90617;220717;264860;317832;381398;457678;2118635;Very Large Number
3411;41524;49829;59795;71754;809;103326;123991;148789;178547;214256;991811;Very Large Number
3412;52222;62666;75199;90239;51840;129944;155933;187120;224544;269453;1247320;Very Large Number
3413;70493;84592;101510;121812;52227;175409;210491;252589;303107;363728;1683731;Very Large Number
3414;86385;103662;124394;149273;90959;214954;257945;309534;371441;445729;2063317;Very Large Number
3415;47030;56436;67723;81268;61253;117026;140431;168517;202220;242664;1123315;Very Large Number
3416;23189;27827;33392;40070;76663;57701;69241;83089;99707;119648;553864;Very Large Number
3417;68817;82580;99096;118915;75884;171238;205486;246583;295900;355080;1643695;Very Large Number
3418;89797;107756;129307;155168;17799;223442;268130;321756;386107;463328;2144791;Very Large Number
3419;11529;13835;16602;19922;70702;28687;34424;41309;49571;59485;275364;Large Number
3420;41820;50184;60221;72265;70962;104062;124874;149849;179819;215783;998877;Very Large Number
3421;24039;28847;34616;41539;47061;59816;71779;86135;103362;124034;574167;Very Large Number
3422;77350;92820;111384;133661;31159;192472;230966;277159;332591;399109;1847512;Very Large Number
3423;74333;89200;107040;128448;81323;184966;221959;266351;319621;383545;1775463;Very Large Number
3424;30221;36265;43518;52222;29208;75199;90239;108287;129944;155933;721828;Very Large Number
3425;92990;111588;133906;160687;76891;231389;277667;333200;399840;479808;2221075;Very Large Number
3426;15030;18036;21643;25972;75046;37399;44879;53855;64626;77551;358991;Large Number
3427;27623;33148;39778;47734;36528;68737;82484;98981;118777;142532;659794;Very Large Number
3428;22263;26716;32059;38471;51510;55398;66478;79774;95729;114875;531763;Very Large Number
3429;22157;26588;31906;38287;25606;55133;66160;79392;95270;114324;529217;Very Large Number
3430;81454;97745;117294;140753;91788;202685;243222;291866;350239;420287;1945545;Very Large Number
3431;66727;80072;96086;115303;26202;166037;199244;239093;286912;344294;1593768;Very Large Number
3432;34338;41206;49447;59336;69719;85444;102533;123040;147648;177178;820170;Very Large Number
3433;32284;38741;46489;55787;21283;80333;96400;115680;138816;166579;771109;Very Large Number
3434;26941;32329;38795;46554;33947;67038;80446;96535;115842;139010;643490;Very Large Number
3435;32583;39100;46920;56304;58887;81078;97294;116753;140104;168125;778261;Very Large Number
3436;96949;116339;139607;167528;57254;241241;289489;347387;416864;500237;2315641;Very Large Number
3437;98197;117836;141403;169684;17083;244345;293214;351857;422228;506674;2345438;Very Large Number
3438;82764;99317;119180;143016;90348;205943;247132;296558;355870;427044;1976824;Very Large Number
3439;46543;55852;67022;80426;34047;115813;138976;166771;200125;240150;1111678;Very Large Number
3440;48970;58764;70517;84620;83238;121853;146224;175469;210563;252676;1169656;Very Large Number
3441;97813;117376;140851;169021;12629;243390;292068;350482;420578;504694;2336273;Very Large Number
3442;38075;45690;54828;65794;30126;94744;113693;136432;163718;196462;909436;Very Large Number
3443;55624;66749;80099;96119;32625;138412;166094;199313;239176;287011;1328597;Very Large Number
3444;53729;64475;77370;92844;89298;133696;160435;192522;231026;277231;1283328;Very Large Number
3445;83668;100402;120482;144578;68820;208193;249832;299798;359758;431710;1998421;Very Large Number
3446;89435;107322;128786;154543;30545;222542;267050;320460;384552;461462;2136152;Very Large Number
3447;89995;107994;129593;155512;72805;223937;268724;322469;386963;464356;2149543;Very Large Number
3448;77723;93268;111922;134306;60670;193400;232080;278496;334195;401034;1856424;Very Large Number
3449;40573;48688;58426;70111;11330;100960;121152;145382;174458;209350;969100;Very Large Number
3450;24079;28895;34674;41609;46539;59917;71900;86280;103536;124243;575133;Very Large Number
3451;23623;28348;34018;40822;55261;58783;70540;84648;101578;121894;564254;Very Large Number
3452;22577;27092;32510;39012;54257;56177;67412;80894;97073;116488;539235;Very Large Number
3453;50283;60340;72408;86890;1635;125122;150146;180175;216210;259452;1201026;Very Large Number
3454;51639;61967;74360;89232;18774;128494;154193;185032;222038;266446;1233401;Very Large Number
3455;85676;102811;123373;148048;84965;213190;255828;306994;368393;442072;2046385;Very Large Number
3456;46852;56222;67466;80959;45763;116581;139897;167876;201451;241741;1119045;Very Large Number
3457;78738;94486;113383;136060;93904;195926;235111;282133;338560;406272;1880669;Very Large Number
3458;46271;55525;66630;79956;4659;115136;138163;165796;198955;238746;1105178;Very Large Number
3459;80333;96400;115680;138816;67886;199895;239874;287849;345419;414503;1918769;Very Large Number
3460;72410;86892;104270;125124;51930;180179;216215;259458;311350;373620;1729518;Very Large Number
